V,Libelle GEN,Libelle ROME,Code ROME,score
Na,Ingénieur IOT,Ingénieur / Ingénieure travaux,F1106,7
Na,Ingénieur IOT,Ingénieur / Ingénieure télécoms,M1804,21
Na,Ingénieur IOT,Ingénieur / Ingénieure télécommunication,M1804,7
Na,Technicien base de données,Administrateur / Administratrice de bases de données,M1801,2
Na,Technicien base de données,Architecte de bases de données,M1802,23
Na,Technicien base de données,Administrateur / Administratrice bases de données géographiques,M1808,20
Na,Content manager,Manager / Manageuse de caisses,D1508,19
Na,Content manager,BIM Manager,F1106,29
Na,Content manager,SPA Manager,D1208,25
Na,Créateur d'entreprise,Créateur / Créatrice textile,B1805,9
Na,Créateur d'entreprise,Créateur / Créatrice lumière,L1504,16
Na,Créateur d'entreprise,Créateur / Créatrice de parfum,H1505,60
Na,Expert Sécurité IT,Expert / Experte sécurité informatique,M1802,54
Na,Expert Sécurité IT,Expert / Experte en sécurité des systèmes d'exploitation,M1802,67
Na,Expert Sécurité IT,Expert / Experte en sécurité des systèmes d'information,M1802,45
Na,Developpeur Big Data,Développeur / Développeuse Big Data,M1805,51
Na,Chargé de production vidéos,Chargé / Chargée de production audiovisuelle,L1302,98
Na,Chargé de production vidéos,Chargé / Chargée de production de spectacles,L1302,43
Na,Chargé de production vidéos,Chargé / Chargée de production cinématographique,L1302,23
Na,Veilleur e-reputation,Consultant / Consultante en e-réputation,E1103,46
Na,Veilleur e-reputation,Veilleur / Veilleuse de nuit en hôtellerie,G1703,29
Na,Développeur d'applications,Développeur / Développeuse d'application,M1805,52
Na,Développeur d'applications,Développeur / Développeuse multimédia,M1805,12
Na,Développeur d'applications,Analyste développeur / développeuse,M1805,51
Na,Ingénieur en Machine Learning,Électromécanicien / Électromécanicienne en machines tournantes,I1304,10
Na,Ingénieur en Machine Learning,Dessinateur / Dessinatrice en machines spéciales,H1203,6
Na,Ingénieur en Machine Learning,Dessinateur-projeteur / Dessinatrice-projeteuse en machines spéciales,H1203,23
Na,Chef de projet e-commerce,Responsable e-commerce,M1707,49
Na,Chef de projet e-commerce,Chef de projet e-formation,K2111,35
Na,Chef de projet e-commerce,Acheteur / Acheteuse e-commerce,M1101,34
Na,Technicien en télécommunication,Technicien / Technicienne en télécommunications,I1307,56
Na,Technicien en télécommunication,Technicien / Technicienne d'exploitation télécommunication,M1807,40
Na,Technicien en télécommunication,Technicien / Technicienne en télécommunications études et développement,H1209,70
Na,Expert en système d’information,Expert / Experte en sécurité des systèmes d'information,M1802,43
Na,Expert en système d’information,Expert / Experte métier système d'information,M1806,71
Na,Expert en système d’information,Expert / Experte en tests d'intrusion - sécurité des systèmes d'information,M1802,0
Na,Developpeur Front-End,Développeur / Développeuse front-end,M1805,64
Na,Developpeur Front-End,Développeur / Développeuse back-end,M1805,31
Na,Architecte IoT,Architecte,F1101,10
Na,Architecte IoT,Architecte conseiller / conseillère,F1101,30
Na,Architecte IoT,Architecte du patrimoine,F1101,41
Na,Webmaster,Webmaster développeur / développeuse,M1805,85
Na,Webmaster,Webmaster animateur / animatrice,E1101,3
Na,Webmaster,Webmaster éditorialiste,E1106,6
Na,Analyste cybersécurité,Analyste en cybersécurité,M1805,47
Na,Analyste cybersécurité,Opérateur / Opératrice en cybersécurité,M1810,41
Na,Analyste cybersécurité,Expert / Experte en cybersécurité,M1802,49
Na,Testeur,Testeur / Testeuse informatique,M1805,86
Na,Testeur,Testeur / Testeuse en électricité,H1504,54
Na,Testeur,Testeur / Testeuse en télécommunications,I1307,60
Na,Technicien cloud,Architecte cloud,M1802,12
Na,Technicien cloud,Technicien / Technicienne de rivière,A1204,43
Na,Technicien cloud,Technicien / Technicienne sur laminoir,H2904,48
Na,Réalisateur de jeux vidéos,Réalisateur / Réalisatrice de vidéo-clip,L1304,1
Na,Réalisateur de jeux vidéos,Développeur / Développeuse - jeux vidéo,M1805,56
Na,Réalisateur de jeux vidéos,Concepteur / Conceptrice de jeux vidéo,E1104,40
Na,"Spécialiste systèmes, réseaux et sécurité",Spécialiste sécurité civile,K1705,7
Na,"Spécialiste systèmes, réseaux et sécurité",Officier / Officière spécialiste de sécurité civile,K1702,51
Na,"Spécialiste systèmes, réseaux et sécurité",Expert / Experte en sécurité des systèmes d'exploitation,M1802,57
Na,Data Engineer,Data scientist,M1403,30
Na,Data Engineer,Développeur / Développeuse Big Data,M1805,50
Na,Data Engineer,Data manager,M1802,7
Na,UI Designer,UI - user interface designer,E1205,71
Na,UI Designer,Sound designer / Designer sonore,L1507,50
Na,UI Designer,Designer,H1204,5
Na,Developpeur IOT,Développeur / Développeuse multimédia,M1805,58
Na,Developpeur IOT,Analyste développeur / développeuse,M1805,51
Na,Developpeur IOT,Développeur / Développeuse full-stack,M1805,40
Na,Développeur Full Stack,Développeur / Développeuse full-stack,M1805,70
Na,Développeur de jeux vidéos,Développeur / Développeuse - jeux vidéo,M1805,90
Na,Développeur de jeux vidéos,Concepteur / Conceptrice de jeux vidéo,E1104,15
Na,Développeur de jeux vidéos,Programmeur / Programmeuse - jeux vidéo,M1805,42
Na,Chargé de marketing digital,Responsable marketing digital,M1705,52
Na,Chargé de marketing digital,Chargé / Chargée des relations publiques digitales,E1103,17
Na,Chargé de marketing digital,Chargé / Chargée d'études en marketing,M1403,47
Na,Architecte Logiciel,Homologateur / Homologatrice logiciel,M1805,1
Na,Architecte Logiciel,Ingénieur / Ingénieure logiciel informatique,M1805,14
Na,Architecte Logiciel,Concepteur / Conceptrice logiciel informatique,M1805,37
Na,Chargé de projet Data,Chargé / Chargée de projet marketing,M1705,14
Na,Chargé de projet Data,Chargé / Chargée de projet emploi,K1801,0
Na,Chargé de projet Data,Chargé / Chargée de projet en éducation pour la santé,K1205,11
Na,Responsable communication digitale,Chief digital officer - Responsable de la transformation digitale,M1402,58
Na,Responsable communication digitale,Responsable marketing digital,M1705,51
Na,Responsable communication digitale,Responsable de la communication,E1103,59
Na,Responsable Sécurité de l'information,Responsable sécurité des systèmes d'information,M1802,10
Na,Responsable Sécurité de l'information,Développeur / Développeuse de sécurité des systèmes d'information,M1805,16
Na,Responsable Sécurité de l'information,Expert / Experte en sécurité des systèmes d'information,M1802,1
Na,Community manager,Community manager,E1101,83
Na,Community manager,Manager / Manageuse de caisses,D1508,11
Na,Community manager,BIM Manager,F1106,55
Na,Technicien de déploiement de fibre optique,Technicien / Technicienne de maintenance de réseaux câblés de communication en fibre optique,I1307,95
Na,Technicien de déploiement de fibre optique,Technicien / Technicienne d'installation de réseaux câblés de communication en fibre optique,I1307,45
Na,Technicien de déploiement de fibre optique,Négociateur / Négociatrice de sites télécoms en fibre optique,M1804,54
Na,Ingénieur logiciel en robotique,Ingénieur / Ingénieure robotique en industrie,H1206,92
Na,Ingénieur logiciel en robotique,Ingénieur / Ingénieure logiciel informatique,M1805,53
Na,Ingénieur logiciel en robotique,Ingénieur / Ingénieure d'étude logiciel informatique,M1805,55
Na,Gestionnaire de parc micro-informatique,Gestionnaire du parc informatique,M1810,69
Na,Gestionnaire de parc micro-informatique,Assistant / Assistante micro-informatique,I1401,30
Na,Gestionnaire de parc micro-informatique,Correspondant / Correspondante micro-informatique,I1401,28
Na,Chargé de communication web,Chargé / Chargée de communication web,E1103,71
