V,Libelle GEN,Libelle ROME,Code ROME,score
Non,Technicien en télécommunication,Dessinateur / Dessinatrice en chaudronnerie,H1203,58
Non,Technicien en télécommunication,Dessinateur / Dessinatrice en maroquinerie,H1205,30
Non,Technicien en télécommunication,Dessinateur / Dessinatrice en outillage,H1203,60
Non,Technicien en télécommunication,Dessinateur / Dessinatrice en plasturgie,H1203,43
Non,Technicien en télécommunication,Dessinateur / Dessinatrice en publicité,E1205,14
Non,Expert en système d’information,Dessinateur / Dessinatrice en systèmes mécaniques,H1203,22
Non,Technicien en télécommunication,Dessinateur / Dessinatrice en tôlerie,H1203,45
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure d'affaires industrielles en éco-conception,H1102,1
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure ERD en éco-conception produits,H1206,11
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure ERD en éco-conception procédés,H1206,21
Non,Technicien en télécommunication,Technicien / Technicienne ERD en acoustique,H1210,21
Non,Responsable Sécurité de l'information,Responsable d'espace de médiation numérique,G1202,42
Non,Développeur de jeux vidéos,Développeur / Développeuse de négatifs de films cinématographiques,E1202,55
Non,Développeur de jeux vidéos,Développeur / Développeuse de photographies,E1203,39
Non,Développeur de jeux vidéos,Développeur / Développeuse de positifs de films cinématographiques,E1202,32
Non,Développeur Data,Développeur / Développeuse informatique,M1805,23
Non,Developpeur Back-End,Développeur-vendeur / Développeuse-vendeuse en photographies,E1203,12
Non,Directeur de projet,Directeur / Directrice assistance technique,H1101,2
Non,Directeur de projet,Directeur / Directrice d'achat média,E1402,0
Non,Directeur de projet,Directeur / Directrice d'antenne radio,L1302,14
Non,Directeur de projet,Directeur / Directrice d'antenne télévision,L1302,9
Non,Directeur de projet,Directeur / Directrice de ballet,L1302,34
Non,Directeur de projet,Directeur / Directrice de bureau d'études en industrie,H1206,22
Non,Directeur de projet,Directeur / Directrice de cirque,L1302,1
Non,Directeur de projet,Directeur / Directrice de clientèle d'agence de publicité,E1401,0
Non,Directeur de projet,Directeur / Directrice de collection en édition,E1105,37
Non,Directeur de projet,Directeur / Directrice de compagnie de danse,L1302,2
Non,Directeur de projet,Directeur / Directrice de compagnie de théâtre,L1302,1
Non,Directeur de projet,Directeur / Directrice de création communication multimédia,E1104,38
Non,Directeur de projet,Directeur / Directrice de création designer,H1204,36
Non,Directeur de projet,Directeur / Directrice de département informatique,M1803,7
Non,Directeur de projet,Directeur / Directrice de département télécoms,M1803,9
Non,Directeur de projet,Directeur / Directrice de festival,L1302,41
Non,Directeur de projet,Directeur / Directrice de la communication,E1103,52
Non,Directeur de projet,Directeur / Directrice de la danse,L1302,7
Non,Directeur de projet,Directeur / Directrice de la musique,L1302,54
Non,Directeur de projet,Directeur / Directrice de la rédaction,E1106,36
Non,Directeur de projet,Directeur / Directrice de production audiovisuelle,L1302,50
Non,Directeur de projet,Directeur / Directrice de production cinématographique,L1302,48
Non,Directeur de projet,Directeur / Directrice de production de spectacles,L1302,43
Non,Directeur de projet,Directeur / Directrice de service télécoms,M1803,49
Non,Directeur de projet,Directeur / Directrice de théâtre,L1302,23
Non,Directeur de projet,Directeur / Directrice d'écriture de scénario,E1102,33
Non,Expert en système d’information,Directeur / Directrice d'édition en ligne,E1105,5
Non,Directeur de projet,Directeur / Directrice des études en industrie,H1206,49
Non,Directeur de projet,Directeur / Directrice des publications,E1105,17
Non,Directeur de projet,Directeur / Directrice des services informatiques -DSI-,M1803,50
Non,Responsable sécurité des systèmes d'information,Directeur / Directrice des systèmes d'information,M1803,15
Non,Responsable sécurité des systèmes d'information,Directeur / Directrice des systèmes d'information et télécoms,M1803,12
Non,Directeur de projet,Directeur / Directrice d'information,E1106,18
Non,Directeur de projet,Directeur musical / Directrice musicale,L1302,32
Non,Technicien en télécommunication,Échantillonneur / Échantillonneuse en teinture,H1201,42
Non,Gestionnaire de base de données,Employé / Employée de reprographie,E1307,13
Non,Gestionnaire de base de données,Employé / Employée de routage,E1304,4
Non,Expert en système d’information,Expérimentateur / Expérimentatrice d'essais en industrie,H1206,56
Non,Expert systèmes et réseaux,Expert / Experte en communication et réseaux,M1802,49
Non,Responsable sécurité des systèmes d'information,Expert / Experte en sécurité des systèmes d'exploitation,M1802,2
Non,Expert Sécurité IT,Expert fiscal / Experte fiscale,K1903,21
Non,Expert Sécurité IT,Expert / Experte juridique,K1903,49
Non,Expert systèmes et réseaux,Expert / Experte méthodes et outils en informatique,M1802,42
Non,Expert systèmes et réseaux,Expert / Experte méthodes et qualité informatique,M1802,46
Non,Expert Sécurité IT,Expert / Experte qualité informatique,M1802,16
Non,Expert Sécurité IT,"Expert / Experte sécurité, méthode et qualité informatique",M1802,20
Non,Expert en système d’information,Expert / Experte système d'exploitation,M1802,16
Non,Expert Sécurité IT,Expert traducteur / Experte traductrice interprète,E1108,29
Non,Responsable sécurité des systèmes d'information,Exploitant / Exploitante des systèmes de guerre électronique,M1807,24
Non,Responsable sécurité des systèmes d'information,Exploitant / Exploitante des télécommunications,M1807,58
Non,Gestionnaire de base de données,Façonneur / Façonneuse de plans,E1307,3
Non,Administrateur Système d'information,Gestionnaire d'applications système d'information,M1806,19
Non,Gestionnaire de parc micro-informatique,Gestionnaire de production informatique,M1810,60
Non,Chef de projet systèmes d'information,Gestionnaire Systèmes d'Information Géographique -SIG-,M1808,33
Non,Expert en système d’information,Gouacheur / Gouacheuse en films d'animation,E1205,0
Non,Délégué à la protection des données (DPD),Guetteur / Guetteuse de la flotte,M1807,20
Non,Expert en technologie de l’information,Infographiste en image de synthèse,E1205,20
Non,Chargé de marketing digital,Informaticien chargé / Informaticienne chargée d'étude,M1805,21
Non,Développeur d'applications,Informaticien / Informaticienne d'application,M1805,37
Non,Gestionnaire de base de données,Informaticien / Informaticienne de développement,M1805,53
Non,Ingénieur en Machine Learning,"Ingénieur / Ingénieure agronome en études, recherche et développement",H1206,17
Non,Analyste SOC,Ingénieur / Ingénieure analyste informatique,M1805,55
Non,Analyste SOC,Ingénieur analyste-programmeur / Ingénieure analyste-programmeuse,M1805,34
Non,Ingénieur DevOps,Ingénieur / Ingénieure architecture navale,H1206,16
Non,Ingénieur DevOps,Ingénieur / Ingénieure assistance technique,H1101,25
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure biochimiste en industrie,H1206,56
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure biologiste en industrie,H1206,56
Non,Ingénieur en Machine Learning,Ingénieur biomédical / Ingénieure biomédicale en industrie,H1206,56
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure brevet en industrie,H1206,45
Non,Ingénieur en Machine Learning,Ingénieur calculateur / Ingénieure calculatrice en industrie,H1206,34
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure chimiste en industrie,H1206,30
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure d'affaires en industrie,H1102,10
Non,Gestionnaire de parc micro-informatique,Ingénieur / Ingénieure d'analyse et de programmation en informatique de gestion,M1805,59
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure d'application en industrie,H1206,18
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure de bureau d'études en industrie,H1206,52
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure de conception et développement en industrie,H1206,44
Non,Gestionnaire de parc micro-informatique,Ingénieur / Ingénieure de conception informatique,M1805,5
Non,Ingénieur DevOps,Ingénieur / Ingénieure de contrats industriels,H1102,58
Non,Expert en technologie de l’information,Ingénieur / Ingénieure de développement de produits en industrie,H1206,35
Non,Gestionnaire de parc micro-informatique,Ingénieur / Ingénieure de développement informatique,M1805,4
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure de piste en industrie,H1206,34
Non,Chargé de production vidéos,Ingénieur / Ingénieure de production informatique,M1810,4
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure de programme d'affaires en industrie,H1102,43
Non,Chef de projet systèmes d'information,Ingénieur / Ingénieure de projet d'affaires en industrie,H1102,49
Non,Gestionnaire de parc micro-informatique,Ingénieur / Ingénieure de réalisation informatique,M1805,3
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure de recherche procédés en industrie,H1206,55
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure de recherche produits en industrie,H1206,17
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure de suivi d'affaires en industrie,H1102,59
Non,Ingénieur DevOps,Ingénieur / Ingénieure de verrerie,H1206,13
Non,Ingénieur DevOps,Ingénieur / Ingénieure déploiement télécoms,M1804,33
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure des mesures et tests en industrie,H1206,28
Non,Délégué à la protection des données (DPD),Ingénieur / Ingénieure des travaux de la météorologie,M1809,60
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure d'essais en études et développement en industrie,H1206,24
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure d'étude en applications scientifiques informatiques,M1805,35
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure d'étude en informatique de gestion,M1805,29
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure d'études en industrie,H1206,57
Non,Ingénieur DevOps,Ingénieur / Ingénieure d'études-développement,H1206,8
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure d'études-recherche-développement en industrie,H1206,31
Non,Ingénieur logiciel en robotique,Ingénieur / Ingénieure développement logiciel informatique,M1805,33
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure développements en industrie,H1206,3
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure d'exploitation des moyens en industrie,H1206,8
Non,Technicien d'exploitation,Ingénieur / Ingénieure d'exploitation informatique,M1810,16
Non,Développeur d'applications,Ingénieur / Ingénieure d'intégration applicative,M1805,5
Non,Ingénieur en Machine Learning,Ingénieur électricien / Ingénieure électricienne en industrie,H1206,24
Non,Ingénieur en Machine Learning,Ingénieur électronicien / Ingénieure électronicienne en industrie,H1206,40
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en aéronautique en industrie,H1206,24
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en aérospatiale en industrie,H1206,19
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en architecture télécoms,M1804,36
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en armement en industrie,H1206,12
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en automatismes en industrie,H1206,40
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en automobile en industrie,H1206,53
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en avionique en industrie,H1206,9
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en biopuce en industrie,H1206,53
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en biotechnologie en industrie,H1206,41
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en chimie en industrie,H1206,25
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en composants électroniques en industrie,H1206,59
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en cristallographie en industrie,H1206,47
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en développement d'applications,M1805,40
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en électronique grand public en industrie,H1206,29
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en électronique médicale en industrie,H1206,24
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en électronique professionnelle en industrie,H1206,14
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en génie chimique en industrie,H1206,32
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en innovations technologiques,H1206,49
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en matériaux en industrie,H1206,18
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en microbiologie en industrie,H1206,58
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en micro-électronique en industrie,H1206,31
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en nanotechnologie en industrie,H1206,10
Non,Ingénieur en Machine Learning,"Ingénieur / Ingénieure en procédés, études et développement",H1206,39
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en propriété industrielle,H1206,5
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en recherche analytique en industrie,H1206,46
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en structures aéronautiques en industrie,H1206,33
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en systèmes électriques en industrie,H1206,17
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en thermodynamique en industrie,H1206,54
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure en veille technologique en industrie,H1206,7
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure études de moyens en industrie,H1206,57
Non,Ingénieur DevOps,Ingénieur / Ingénieure études et procédés industriels,H1206,3
Non,Ingénieur DevOps,Ingénieur / Ingénieure études et support télécoms,M1804,17
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure fiabilité en industrie,H1206,40
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure formulation en industrie,H1206,47
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure frigoriste en industrie,H1206,37
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure génie chimique en industrie,H1206,0
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure hydrobiologiste en industrie,H1206,36
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure hydrochimiste en industrie,H1206,36
Non,Ingénieur DevOps,Ingénieur / Ingénieure hydrographe,M1808,16
Non,Ingénieur DevOps,Ingénieur informaticien / Ingénieure informaticienne,M1805,49
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure informatique développement en temps réel,M1805,36
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure instrumentation en industrie,H1206,12
Non,Ingénieur en Machine Learning,Ingénieur mécanicien / Ingénieure mécanicienne en industrie,H1206,8
Non,Ingénieur en Machine Learning,Ingénieur mécatronicien / Ingénieure mécatronicienne en industrie,H1206,45
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure métallurgiste en industrie,H1206,3
Non,Ingénieur DevOps,Ingénieur / Ingénieure métrologie,H1206,22
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure militaire en recherche et développement,H1206,7
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure motoriste en industrie,H1206,54
Non,Ingénieur en Machine Learning,"Ingénieur / Ingénieure normalisation en études, recherche et développement",H1206,43
Non,Ingénieur en Machine Learning,Ingénieur papetier / Ingénieure papetière en industrie,H1206,59
Non,Ingénieur en Machine Learning,Ingénieur physicien / Ingénieure physicienne en industrie,H1206,35
Non,Chef de projet systèmes d'information,Ingénieur / Ingénieure pilotage de projets d'affaires industriels,H1102,28
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure plasturgiste en industrie,H1206,37
Non,Ingénieur DevOps,Ingénieur / Ingénieure radio,M1804,6
Non,Ingénieur DevOps,Ingénieur / Ingénieure réseau informatique,M1802,10
Non,Ingénieur DevOps,Ingénieur / Ingénieure réseaux télécoms,M1804,42
Non,Ingénieur DevOps,Ingénieur / Ingénieure service client,H1101,46
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure spécification en industrie,H1206,26
Non,Ingenieur systèmes,Ingénieur / Ingénieure système informatique,M1802,3
Non,Chef de projet systèmes d'information,Ingénieur / Ingénieure Systèmes d'Information Géographique -SIG,M1808,10
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure technique d'études en industrie,H1206,57
Non,Ingénieur en Machine Learning,Ingénieur / Ingénieure textile en industrie,H1206,31
Non,Ingénieur en Machine Learning,Ingénieur thermicien / Ingénieure thermicienne en industrie,H1206,38
Non,Ingénieur DevOps,Ingénieur / Ingénieure validation réseaux de télécoms,M1804,49
Non,Gestionnaire de base de données,Installateur / Installatrice de matériels de reprographie,I1401,30
Non,Développeur d'applications,Intégrateur / Intégratrice d'application informatique,M1805,37
Non,Technicien d'exploitation,Intégrateur / Intégratrice d'exploitation informatique,M1810,8
Non,Expert en technologie de l’information,Interprète en langue des signes,E1108,26
Non,Journaliste web,Journaliste,E1106,58
Non,Chargé de marketing digital,Journaliste chargé / chargée de publication,E1106,33
Non,Chargé de communication web,Journaliste de « communication de ville »,E1106,29
Non,Journaliste web,Journaliste de presse audiovisuelle,E1106,39
Non,Journaliste web,Journaliste de presse écrite,E1106,8
Non,Journaliste web,Journaliste de presse radiophonique,E1106,26
Non,Créateur d'entreprise,Journaliste d'entreprise,E1106,48
Non,Journaliste web,Journaliste on line,E1106,44
Non,Journaliste web,Journaliste présentateur / présentatrice radio,E1106,8
Non,Journaliste web,Journaliste présentateur / présentatrice TV,E1106,27
Non,Journaliste web,Journaliste scientifique,E1106,13
Non,Spécialiste support,Journaliste spécialisé / spécialisée,E1106,58
Non,Gestionnaire de base de données,Juriste de l'environnement,K1903,47
Non,Créateur d'entreprise,Juriste d'entreprise,K1903,50
Non,Expert en technologie de l’information,Juriste en droit de la construction,K1903,47
Non,Expert en technologie de l’information,Juriste en droit de l'environnement,K1903,22
Non,Créateur d'entreprise,Juriste international / internationale d'entreprise,K1903,48
Non,Administrateur Système d'information,Maître / Maîtresse d'ouvrage système d'information,M1806,47
Non,Chef de projet systèmes d'information,Maquettiste d'exécution édition,E1306,55
Non,Expert en système d’information,Maquettiste d'exécution en imprimerie,E1306,0
Non,Chef de projet systèmes d'information,Maquettiste d'exécution publicitaire,E1306,36
Non,Technicien en télécommunication,Maquettiste en arts graphiques,E1205,32
Non,Technicien en télécommunication,Maquettiste en conception industrielle,H1203,31
Non,Technicien en télécommunication,Margeur / Margeuse en façonnage,E1304,55
Non,Technicien en télécommunication,Metteur / Metteuse en page,E1306,11
Non,Technicien en télécommunication,Monteur / Monteuse en imposition,E1306,37
Non,Conseiller support technique,Nomenclaturiste en rédaction technique,H1207,34
Non,Responsable Sécurité de l'information,Officier / Officière de marque de l'industrie,H1206,16
Non,Développeur machine learning,Opérateur / Opératrice de machine manuelle d'affranchissement,E1304,57
Non,Gestionnaire de base de données,Opérateur / Opératrice de photocomposition,E1306,1
Non,Gestionnaire de base de données,Opérateur / Opératrice de prépresse,E1306,36
Non,Gestionnaire de base de données,Opérateur / Opératrice de projection,E1204,16
Non,Gestionnaire de base de données,Opérateur / Opératrice de télécinéma,E1202,48
Non,Chef de projet systèmes d'information,Opérateur / Opératrice d'exécution de façonnage,E1304,41
Non,Technicien en télécommunication,Opérateur / Opératrice en reprographie,E1307,28
Non,Gestionnaire de base de données,Organisateur / Organisatrice de manifestations,E1107,31
Non,Gestionnaire de base de données,Organisateur / Organisatrice de réceptions,E1107,7
Non,Gestionnaire de base de données,Organisateur / Organisatrice de soirées,E1107,21
Non,Technicien en télécommunication,Papetier / Papetière en façonnage,E1304,47
Non,Architecte Logiciel,Paramétreur / Paramétreuse logiciel ERP,M1805,55
Non,Technicien en télécommunication,Patronnier / Patronnière en chaussures,H1205,58
Non,Expert en technologie de l’information,Peintre en trompe-l'oeil,B1101,12
Non,Gestionnaire de base de données,Pharmacologue de l'industrie,H1206,45
Non,Gestionnaire de base de données,Photographe de plateau de tournage,E1201,24
Non,Technicien en télécommunication,Photographe en industrie graphique,E1201,15
Non,Gestionnaire de parc micro-informatique,Pilote de ressources informatiques,M1810,14
Non,Chef de projet systèmes d'information,Premier / Première d'atelier,H1205,47
Non,Gestionnaire de base de données,Préparateur / Préparatrice de copies,E1305,53
Non,Expert en technologie de l’information,Préparateur / Préparatrice en laboratoire de recherche,H1210,49
Non,Responsable sécurité des systèmes d'information,Prévisionniste météorologue des armées,M1809,57
Non,Gestionnaire de base de données,Producteur / Productrice de musique,L1302,9
Non,Gestionnaire de base de données,Producteur / Productrice de spectacles,L1302,15
Non,Délégué à la protection des données (DPD),Producteur délégué / Productrice déléguée,L1302,55
Non,Gestionnaire de base de données,Professeur / Professeure de yoga,G1202,29
Non,Gestionnaire de base de données,Programmateur / Programmatrice de spectacles,L1302,37
Non,Développeur d'applications,Programmeur / Programmeuse d'applications,M1805,42
Non,Gestionnaire de parc micro-informatique,Programmeur / Programmeuse de maintenance informatique,M1805,5
Non,Chef de projet systèmes d'information,Programmeur / Programmeuse d'études,M1805,34
Non,Gestionnaire de base de données,Programmeur / Programmeuse logiciel de base informatique,M1805,42
Non,Gestionnaire de base de données,Projectionniste de laboratoire cinématographique,E1202,26
Non,Technicien d'exploitation,Pupitreur / Pupitreuse d'exploitation informatique,M1810,50
Non,Technicien réseau,Pupitreur / Pupitreuse réseau informatique,M1810,0
Non,Ingénieur logiciel en robotique,Qualiticien / Qualiticienne logiciel en informatique,M1802,29
Non,Technicien en télécommunication,Receveur / Receveuse en façonnage,E1304,34
Non,Chef de projet technique,Rédacteur / Rédactrice de notices techniques,H1207,22
Non,Gestionnaire de base de données,Rédacteur / Rédactrice de presse,E1106,39
Non,Responsable sécurité des systèmes d'information,Rédacteur / Rédactrice des débats,E1103,22
Non,Technicien en télécommunication,Rédacteur / Rédactrice en chef,E1106,5
Non,Conseiller support technique,Rédacteur / Rédactrice technique automobile,H1207,52
Non,Chef de projet systèmes d'information,Régisseur / Régisseuse d'évènementiel,E1107,0
Non,Gestionnaire de base de données,Régleur / Régleuse de machines de routage,E1302,58
Non,Chef de projet agile,Réparateur / Réparatrice de machines à coudre,I1402,51
Non,Gestionnaire de base de données,Réparateur / Réparatrice de matériels de bricolage,I1402,38
Non,Technicien en télécommunication,Réparateur / Réparatrice en électroménager,I1402,53
Non,Conseiller support technique,Représentant technique / Représentante technique utilisateur,H1101,51
Non,Responsable CRM,Responsable «Blanc»,I1402,13
Non,Responsable CRM,Responsable «Brun»,I1402,38
Non,Responsable Sécurité de l'information,Responsable centre de support client,H1101,34
Non,Expert en système d’information,Responsable d'affaires en industrie,H1102,52
Non,Responsable CRM,Responsable d'application informatique,M1805,2
Non,Responsable Sécurité de l'information,Responsable d'atelier de façonnage,E1303,38
Non,Responsable Sécurité de l'information,Responsable d'atelier de génie logiciel,M1805,50
Non,Responsable Sécurité de l'information,Responsable d'atelier de photogravure,E1306,40
Non,Responsable Sécurité de l'information,Responsable d'atelier de routage,E1303,46
Non,Chef de projet systèmes d'information,Responsable d'atelier d'impression,E1303,58
Non,Developpeur Back-End,Responsable de bureau d'études en industrie,H1206,30
Non,Responsable communication digitale,Responsable de communication en entreprise,E1103,32
Non,Responsable communication digitale,Responsable de communication externe,E1103,4
Non,Responsable communication digitale,Responsable de communication interne,E1103,51
Non,Gestionnaire de parc micro-informatique,Responsable de domaine en informatique,M1803,9
Non,Responsable CRM,Responsable de domaine télécoms,M1803,1
Non,Expert en technologie de l’information,Responsable de fabrication en industrie graphique,E1308,12
Non,Responsable Sécurité de l'information,Responsable de gestion de configuration,M1805,55
Non,Chargé de production vidéos,Responsable de la production informatique,M1803,11
Non,Responsable Sécurité de l'information,Responsable de la programmation audiovisuelle,L1302,15
Non,Responsable Sécurité de l'information,Responsable de la programmation de spectacles,L1302,41
Non,Responsable CRM,Responsable de la teinte,H1201,29
Non,Responsable CRM,Responsable de laboratoire cinématographique,E1202,54
Non,Responsable Sécurité de l'information,Responsable de laboratoire de tirage cinématographique,E1202,13
Non,Responsable CRM,Responsable de laboratoire photographique,E1203,0
Non,Chargé de communication web,Responsable de l'information et de la communication,E1103,12
Non,Responsable Sécurité de l'information,Responsable de minilaboratoire de tirage photographique,E1203,17
Non,Expert en technologie de l’information,Responsable de planning en industrie graphique,E1308,52
Non,Responsable Sécurité de l'information,Responsable de produits d'édition,E1105,29
Non,Responsable Sécurité de l'information,Responsable de programmes réseaux de télécoms,M1804,20
Non,Chef de projet systèmes d'information,Responsable de projet architecture et intégration grands systèmes,M1803,51
Non,Coordinateur de projet,Responsable de projet architecture informatique,M1803,38
Non,Coordinateur de projet,Responsable de projet architecture télécoms,M1803,22
Non,Chef de projet systèmes d'information,Responsable de projet d'affaires en industrie,H1102,40
Non,Coordinateur de projet,Responsable de projet industriel,H1206,46
Non,Coordinateur de projet,Responsable de projet publicitaire,E1401,23
Non,Coordinateur de projet,Responsable de projet recherche et développement,H1206,14
Non,Chef de projet systèmes d'information,Responsable de projets « métiers » système d'information,M1806,28
Non,Responsable CRM,Responsable de réseaux télécoms,M1803,25
Non,Responsable Sécurité de l'information,Responsable de service contentieux et recouvrement,K1903,40
Non,Responsable CRM,Responsable de service juridique,K1903,46
Non,Responsable sécurité des systèmes d'information,Responsable d'édition,E1105,8
Non,Expert en système d’information,Responsable d'édition en presse,E1106,29
Non,Responsable sécurité des systèmes d'information,Responsable des développements informatiques,M1805,34
Non,Responsable sécurité des systèmes d'information,Responsable des relations extérieures,E1103,30
Non,Responsable sécurité des systèmes d'information,Responsable des relations internes,E1103,42
Non,Responsable sécurité des systèmes d'information,Responsable des relations presse,E1103,25
Non,Responsable sécurité des systèmes d'information,Responsable des systèmes d'information,M1803,11
Non,Responsable sécurité des systèmes d'information,Responsable des systèmes informatiques,M1803,48
Non,Responsable CRM,Responsable d'étude informatique,M1805,46
Non,Expert en système d’information,Responsable d'études cliniques en industrie,H1206,42
Non,Responsable CRM,Responsable d'études industrielles,H1206,51
Non,Responsable CRM,Responsable d'exploitation informatique,M1803,34
Non,Responsable Sécurité de l'information,Responsable du management de la DSI,M1803,39
Non,Responsable CRM,Responsable du plan média,E1402,50
Non,Responsable CRM,Responsable du réseau informatique,M1803,24
Non,Responsable Sécurité de l'information,Responsable du service de presse,E1103,58
Non,Responsable CRM,Responsable du service prépresse,E1306,21
Non,Responsable sécurité des systèmes d'information,Responsable d'un service informatique,M1803,19
Non,Responsable sécurité des systèmes d'information,Responsable d'un service télécoms,M1803,58
Non,Responsable CRM,Responsable évènement,E1107,36
Non,Responsable CRM,Responsable informatique,M1803,16
Non,Responsable CRM,Responsable juridique,K1903,15
Non,Responsable CRM,Responsable média,E1402,23
Non,Gestionnaire de parc micro-informatique,Responsable micro-informatique,I1401,41
Non,Responsable CRM,Responsable service rédaction technique,H1207,52
Non,Conseiller support technique,Responsable support technique clients,H1101,11
Non,Administrateur Système d'information,Responsable Système d'Information Géographique -SIG-,M1808,15
Non,Chef de projet technique,Responsable technique de la projection,E1204,34
Non,Responsable CRM,Responsable télécoms,M1803,59
Non,Responsable sécurité des systèmes d'information,Responsable utilisateurs des systèmes d'information,M1806,28
Non,Technicien en télécommunication,Roughman / Roughwoman en design,H1204,31
Non,Chef de projet systèmes d'information,Second / Seconde d'atelier,H1205,14
Non,Chargé de production vidéos,Secrétaire de production cinéma,L1302,37
Non,Chargé de production vidéos,Secrétaire de production de spectacles,L1302,11
Non,Délégué à la protection des données (DPD),Secrétaire général / générale de la rédaction,E1106,7
Non,Responsable Sécurité de l'information,Spécialiste de l'information géographique,M1808,22
Non,Responsable Sécurité de l'information,Spécialiste de l'information météorologique,M1809,55
Non,Spécialiste support,Spécialiste METOC Météorologie Océanographie,M1809,48
Non,Responsable sécurité des systèmes d'information,Technicien / Technicienne des systèmes d'information et de télécommunications,M1807,25
Non,Technicien système et réseau,Technicien / Technicienne analyses et essais en recherche et développement,H1210,38
Non,Technicien en télécommunication,Technicien / Technicienne d'assistance à la clientèle en informatique,I1401,20
Non,Technicien système et réseau,Technicien automaticien / Technicienne automaticienne d'études et conception,H1208,13
Non,Technicien en télécommunication,Technicien / Technicienne biologiste en recherche-développement,H1210,12
Non,Délégué à la protection des données (DPD),Technicien / Technicienne bureau d'études des industries de la chaussure,H1205,15
Non,Technicien d'exploitation,Technicien / Technicienne bureau d'études maroquinerie,H1205,46
Non,Technicien en télécommunication,Technicien / Technicienne chimiste en recherche-développement,H1210,5
Non,Technicien en télécommunication,Technicien / Technicienne coloriste en industrie,H1201,48
Non,Technicien en télécommunication,Technicien / Technicienne coloriste en recherche et développement,H1201,23
